职位名称,公司名称,融资情况,教育程度,工作年限,薪资水平,员工人数,创建时间,职位网址
文案策划,中亚置业集团有限公司,,本科,,4000-8000元/月,500-999人,,http://jobs.zhaopin.com/260150513250930.htm
人工智能技术经理,和美（深圳）信息技术股份有限公司,,本科,5-10年,20001-30000元/月,1000-9999人,,http://jobs.zhaopin.com/134986205250867.htm
产品总监,深圳声联网科技有限公司,,不限,,15001-20000元/月,100-499人,,http://jobs.zhaopin.com/281623188250053.htm
机器视觉研发工程师,深圳市颉立德智能科技有限公司,,本科,3-5年,6000-11000元/月,20-99人,,http://jobs.zhaopin.com/CZ725947040J00046425001.htm
高薪诚聘：资深电路/射频工程师,深圳市镭神智能系统有限公司,,不限,,10000-20000元/月,100-499人,,http://jobs.zhaopin.com/286299889250081.htm
高薪诚聘：FPGA硬件工程师,深圳市镭神智能系统有限公司,,本科,,10000-20000元/月,100-499人,,http://jobs.zhaopin.com/286299889250074.htm
网店美工，网店设计员,深圳市新一在线科技有限公司,,不限,,3000-4500元/月,20-99人,,http://jobs.zhaopin.com/429333781250012.htm
高级嵌入式工程师,深圳市天视通电子科技有限公司,,本科,1-3年,10000-15000元/月,100-499人,,http://jobs.zhaopin.com/154569314250051.htm
美工设计,深圳盖亚威视科技发展有限公司,,大专,1年,3000-4000元/月,20-99人,,http://jobs.zhaopin.com/670645523250063.htm
网站设计/程序员,深圳云和数据信息技术有限公司,,大专,1年,3000-5000元/月,20-99人,,http://jobs.zhaopin.com/392850630250256.htm
机器视觉应用工程师,深圳瑞斯特朗科技有限公司,,本科,3-5年,15000-25000元/月,20-99人,,http://jobs.zhaopin.com/665784223250043.htm
机器视觉-光学工程师,深圳瑞斯特朗科技有限公司,,本科,3-5年,10000-15000元/月,20-99人,,http://jobs.zhaopin.com/665784223250046.htm
算法工程师,深圳瑞斯特朗科技有限公司,,本科,3-5年,20000-40000元/月,20-99人,,http://jobs.zhaopin.com/665784223250044.htm
软件工程师(激光设备),深圳市策维科技有限公司,,大专,,15001-20000元/月,1000-9999人,,http://jobs.zhaopin.com/386322812250748.htm
信号算法处理工程师,小儒技术(深圳)有限公司,,本科,1-3年,10001-15000元/月,20-99人,,http://jobs.zhaopin.com/443414882250001.htm
软件工程师,小儒技术(深圳)有限公司,,本科,,6001-8000元/月,20-99人,,http://jobs.zhaopin.com/443414882250010.htm
视频处理算法工程师,小儒技术(深圳)有限公司,,本科,1-3年,7500-15000元/月,20-99人,,http://jobs.zhaopin.com/443414882250019.htm
高级运营专员（活动策划推广方向）,深圳前海达飞金融服务有限公司 ,,本科,1-3年,8000-13000元/月,1000-9999人,,http://jobs.zhaopin.com/680229720255306.htm
软件工程师,深圳市鹰眼在线电子科技有限公司,,大专,,5000-10000元/月,100-499人,,http://jobs.zhaopin.com/369396914250043.htm
产品交付文档专员,深圳前海华夏智信数据科技有限公司,,本科,1-3年,4001-6000元/月,20-99人,,http://jobs.zhaopin.com/641930825250024.htm
FPGA工程师,厦门视诚科技有限公司深圳办事处,,不限,1-3年,15000-25000元/月,100-499人,,http://jobs.zhaopin.com/229560330250169.htm
效果图设计师,深圳市盈木盛火环境艺术设计有限公司,,不限,1-3年,5000-8000元/月,20-99人,,http://jobs.zhaopin.com/CZ729643640J00008537405.htm
QT软件开发工程师,深圳市畅飞扬信息系统有限公司,,大专,3-5年,10001-15000元/月,20-99人,,http://jobs.zhaopin.com/668337528250173.htm
平面设计,深圳市托尼服饰有限公司,,大专,1-3年,5000-8000元/月,20-99人,,http://jobs.zhaopin.com/450056035250023.htm
商业修图师,深圳市托尼服饰有限公司,,本科,1-3年,8000-10000元/月,20-99人,,http://jobs.zhaopin.com/450056035250025.htm
美术ui设计,深圳扉凡互娱网络科技有限公司,,大专,1-3年,8000-12000元/月,20人,,http://jobs.zhaopin.com/CZ723947940J00016350203.htm
亚马逊运营,深圳市埃微信息技术有限公司,,大专,1-3年,8000-12000元/月,20-99人,,http://jobs.zhaopin.com/CZ728396040J00013703505.htm
VC++  C# Windows 开发 软件工程师 软件开发,深圳百迈技术有限公司,,本科,1-3年,8000-15000元/月,20-99人,,http://jobs.zhaopin.com/310288582250036.htm
软件工程师（计算机视觉方向）,深圳市易尚展示股份有限公司,,本科,1-3年,8000-12000元/月,1000-9999人,,http://jobs.zhaopin.com/148633242250316.htm
耳机结构工程师,深圳市埃微信息技术有限公司,,大专,1-3年,8000-15000元/月,20-99人,,http://jobs.zhaopin.com/CZ728396040J00010730005.htm
UI设计师,深圳市普方立民科技股份有限公司,,本科,3-5年,8001-10000元/月,100-499人,,http://jobs.zhaopin.com/335568087250193.htm
业务员,深圳市晶彩数码图像有限公司,,中技,1-3年,4001-6000元/月,100-499人,,http://jobs.zhaopin.com/226183012250055.htm
机器视觉 算法 工程师,深圳百迈技术有限公司,,本科,,10001-15000元/月,20-99人,,http://jobs.zhaopin.com/310288582250037.htm
应届毕业生（计算机、生物医学工程专业）,深圳市旭东数字医学影像技术有限公司,,硕士,,5000-8000元/月,500-999人,,http://jobs.zhaopin.com/399961914250190.htm
高级软件开发工程师,深圳市旭东数字医学影像技术有限公司,,不限,,20001-30000元/月,500-999人,,http://jobs.zhaopin.com/399961914250184.htm
软件开发工程师,深圳市旭东数字医学影像技术有限公司,,本科,1年,10001-15000元/月,500-999人,,http://jobs.zhaopin.com/399961914250188.htm
芯片设计工程师(校招),安凯(广州)微电子技术有限公司,,硕士,,8001-10000元/月,100-499人,,http://jobs.zhaopin.com/194896029250138.htm
ISP算法/调试工程师,安凯(广州)微电子技术有限公司,,本科,1-3年,6001-8000元/月,100-499人,,http://jobs.zhaopin.com/194896029250120.htm
固件开发工程师,深圳市埃微信息技术有限公司,,本科,1-3年,9000-13000元/月,20-99人,,http://jobs.zhaopin.com/CZ728396040J00013329405.htm
系统测试主管,深圳市埃微信息技术有限公司,,本科,3-5年,10001-15000元/月,20-99人,,http://jobs.zhaopin.com/CZ728396040J00013631005.htm
电商美工,深圳市宝华同创科技有限公司,,大专,1-3年,4001-6000元/月,20-99人,,http://jobs.zhaopin.com/CZ723241840J00049187401.htm
C#软件工程师,深圳市雄帝科技股份有限公司,,本科,1-3年,8000-16000元/月,500-999人,,http://jobs.zhaopin.com/147223018250325.htm
自动化软件工程师（高薪急聘）,深圳市兴禾自动化有限公司,,大专,3-5年,10000-20000元/月,100-499人,,http://jobs.zhaopin.com/204313522250155.htm
