职位名称,公司名称,融资情况,教育程度,工作年限,薪资水平,员工人数,创建时间,职位网址
软件测试工程师,万像电子,,本科或以上,1年工作经验,10-16万,,,https://www.liepin.com/job/198448799.shtml
互联网产品经理,深圳市创客工场科技有限公司,,本科或以上,3年工作经验,22-36万,,,https://www.liepin.com/job/198367013.shtml
视觉软件工程师,深圳市泰洛斯自动化科技有限公司,,大专或以上,3年工作经验,面议,,,https://www.liepin.com/job/198650539.shtml
相机IQ工程师（效果调试）,依偎科技,,本科或以上,3年工作经验,16-31万,,,https://www.liepin.com/job/198737389.shtml
相机系统（算法）开发工程师,依偎科技,,本科或以上,5年工作经验,23-46万,,,https://www.liepin.com/job/198737438.shtml
Linux/c++软件工程师,坎德拉,,本科或以上,2年工作经验,18-36万,,,https://www.liepin.com/job/198667720.shtml
深度学习工程师,坎德拉,,本科或以上,经验不限,18-36万,,,https://www.liepin.com/job/198727074.shtml
硬件工程师,光峰光电,,硕士或以上,2年工作经验,18-24万,,,https://www.liepin.com/job/198762808.shtml
Win软件工程师（生物识别方向）,中控智慧科技,,本科或以上,3年工作经验,面议,,,https://www.liepin.com/job/198768227.shtml
产品经理（互联网家装/公寓）,深圳世联行地产顾问股份有限公司,,本科或以上,3年工作经验,12-24万,,,https://www.liepin.com/job/198763589.shtml
资深设计师,广州蓝色光标,,本科或以上,2年工作经验,10-14万,,,https://www.liepin.com/job/198437550.shtml
美术指导/资深美术指导,广州蓝色光标,,本科或以上,4年工作经验,14-24万,,,https://www.liepin.com/job/198437603.shtml
音视频编解码工程师,依偎科技,,本科或以上,3年工作经验,13-26万,,,https://www.liepin.com/job/198617724.shtml
虚拟仿真业务拓展经理,北京赢康科技股份有限公司,,本科或以上,3年工作经验,11-18万,,,https://www.liepin.com/job/198500696.shtml
高级品牌主管,深圳市鲜语运营管理有限公司,,本科或以上,3年工作经验,面议,,,https://www.liepin.com/job/198593139.shtml
相机UI开发,依偎科技,,本科或以上,3年工作经验,16-31万,,,https://www.liepin.com/job/198737285.shtml
嵌入式软件工程师,光峰光电,,硕士或以上,5年工作经验,24-36万,,,https://www.liepin.com/job/198762774.shtml
软件工程师(激光设备),策维科技,,大专或以上,经验不限,18-24万,,,https://www.liepin.com/job/198769248.shtml
数字媒体 美术UI设计师,方直科技,,大专或以上,2年工作经验,8-17万,,,https://www.liepin.com/job/198736952.shtml
视觉研发工程师（深圳）,平安科技,,学历不限,经验不限,面议,,,https://www.liepin.com/job/196813649.shtml
人脸识别工程师（深圳）,平安科技,,本科或以上,经验不限,面议,,,https://www.liepin.com/job/197722624.shtml
QT软件工程师,昂纳,,本科或以上,2年工作经验,14-28万,,,https://www.liepin.com/job/198096628.shtml
游戏原画（宣传）,乐易网络,,大专或以上,1年工作经验,6-12万,,,https://www.liepin.com/job/197605127.shtml
高级研发工程师(iOS平台）（深圳）,平安科技,,本科或以上,经验不限,面议,,,https://www.liepin.com/job/198084072.shtml
